objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , _q   , W1mag , W2mag , W3mag , W4mag, W1_W2        , u_g
1237646586640532766, 90.3278051749787, -0.0152975249971355 , 24.43507, 21.13252, 19.18167, 18.15448, 17.46715, STAR , 0.0001812066 , 175.0, 14.99 , 15.019, 11.731, 8.522, -0.029000282 , 3.30255
1237646586640598115, 90.4601541405981, -0.0396197430240326 , 24.33267, 21.91319, 19.82067, 18.583  , 17.79205, STAR , 2.599792e-05 , 176.0, 15.001, 14.854, 11.983, 9.04 , 0.14700031   , 2.41948
1237646586640598117, 90.4689994669145, -0.151927596786217  , 25.11661, 22.01047, 20.26108, 18.72598, 17.82877, STAR , 4.084904e-05 , 177.0, 14.854, 14.762, 12.119, 8.705, 0.09200001   , 3.10614
1237646586640598121, 90.4860496575808, -0.0811956652406199 , 25.19129, 21.50949, 19.85362, 17.90692, 16.85799, STAR , 2.083498e-05 , 178.0, 14.087, 14.089, 12.292, 8.933, -0.001999855 , 3.681799999999999
1237646586640598194, 90.4063629551147, -0.105814524472946  , 25.31346, 22.31931, 20.43351, 18.99063, 18.14783, STAR , 0.0001113989 , 179.0, 14.611, 14.507, 12.134, 9.087, 0.10400009   , 2.9941499999999976
1237646586640598291, 90.4350181845483, -0.160475057490163  , 24.30902, 22.2599 , 20.28596, 19.19368, 18.54262, STAR , 0.0001880263 , 180.0, 15.624, 15.281, 11.927, 8.626, 0.34299946   , 2.049120000000002
1237646586640598459, 90.4938151043627, -0.141728583382596  , 25.26113, 22.78616, 20.73821, 19.23808, 18.35597, STAR , 7.988985e-05 , 181.0, 15.742, 16.229, 12.696, 8.559, -0.48700047  , 2.4749700000000026
1237646586640598550, 90.5162795729132, -0.130505367828462  , 26.03468, 23.29518, 21.76907, 19.40807, 18.05727, STAR , 9.147578e-05 , 182.0, 14.838, 14.747, 12.532, 8.779, 0.09100056   , 2.739500000000003
1237646586640663820, 90.6920002436169, -0.12056973420725   , 24.2633 , 21.45675, 19.53202, 18.53704, 17.9334 , STAR , 5.605885e-05 , 183.0, 13.794, 13.696, 11.92 , 9.087, 0.09799957   , 2.8065500000000014
1237646586640663877, 90.609110345504 , -0.119202189766388  , 23.91383, 21.38078, 19.41806, 18.40854, 17.70304, STAR , 0.0001887485 , 184.0, 15.279, 15.184, 12.009, 9.109, 0.09500027   , 2.5330499999999994
1237646586640663896, 90.6753292318145, -0.0636926087016818 , 24.50416, 22.43311, 20.52807, 18.93439, 18.03796, STAR , 0.000169651  , 185.0, 13.726, 13.663, 12.46 , 8.901, 0.062999725  , 2.0710499999999996
1237646586640664458, 90.7003602733403, -0.077149217556803  , 25.14249, 22.34705, 20.40603, 19.01307, 18.18409, STAR , 0.0004191899 , 186.0, 14.735, 14.772, 11.721, 8.878, -0.037000656 , 2.7954399999999993
1237646586640729035, 90.8080962408417, -0.166208226815513  , 22.90162, 19.97917, 18.58916, 17.24764, 16.54438, STAR , 0.0004264799 , 188.0, 15.766, 16.001, 12.149, 9.057, -0.23499966  , 2.9224500000000013
