objid,ra,dec,u,g,r,i,z,class,redshift
1237646586639417887,87.7958474043099,-0.102754319065118,20.84212,18.70716,17.58637,17.03269,16.67717,STAR,-0.0001430001
1237646586639417972,87.8204292836622,-0.0436062012197196,24.35146,21.23737,20.51901,20.22083,20.01074,STAR,0.0003398094
1237646586639418008,87.8390821577865,-0.0693582637913546,21.34451,19.65341,18.51493,17.94167,17.55314,STAR,-0.0004980231
1237646586639418016,87.8422479627617,-0.0100481898861915,21.36672,19.55292,18.52886,18.02342,17.64364,STAR,0.0001952645
1237646586639418095,87.7343019120423,-0.0707090772083784,22.39001,20.32883,19.08182,18.4335,17.9582,STAR,0.0002276758
1237646586639418183,87.764887245066,-0.157528083890292,24.30591,21.5199,19.4277,18.30544,17.58197,STAR,0.000235302
1237646586639418257,87.7121869307574,-0.152172518325462,23.66213,21.50156,20.46037,19.8395,19.38238,STAR,0.0001177508
1237646586639418376,87.7580661573797,-0.0131898051756818,23.33791,22.53881,20.48651,19.29726,18.41994,STAR,5.817319e-05
1237646586639418462,87.7843632233237,-0.097556327977398,23.92235,22.68352,20.62629,19.30112,18.45351,STAR,0.0001227416
1237646586639483305,87.9077575971731,0.00151013047461698,21.78181,19.4821,18.18792,17.54158,17.10274,STAR,-0.0001462912
1237646586639483643,87.9318214804775,-0.174903911984778,24.21984,20.59548,18.66583,17.51469,16.80486,STAR,0.000436963
1237646586639483777,87.8637882337279,-0.0178808757579733,22.4602,21.11131,19.96042,19.50971,19.10595,STAR,4.273365e-05
1237646586639483978,87.9090021589157,-0.0975055176402715,24.40659,22.9197,20.83017,19.47096,18.66892,STAR,0.0001637344
1237646586639484071,87.936218960561,-0.0902712798486821,26.06241,22.60915,20.71371,18.9613,17.98262,STAR,0.0001120042
1237646586639484149,87.9620474835088,-0.0777894082189162,24.1325,22.76757,20.83871,19.4893,18.66496,STAR,-1.658444e-05
1237646586639549154,88.0765063252325,-0.18788177345145,22.80903,20.51328,19.06417,17.37553,16.38749,STAR,0.0002257408
1237646586639549252,88.0990530718485,-0.112568548250799,23.68005,22.08669,19.9278,18.84024,18.13328,STAR,0.0001836505
1237646586639549264,88.1399452560253,-0.147925233418462,23.69018,22.50401,20.54127,18.83103,17.84494,STAR,-2.755061e-05
1237646586639549428,88.0366472009233,-0.093141700741114,24.65372,22.50347,20.47857,19.42665,18.67712,STAR,0.0001565877
1237646586639549634,88.1155584974617,-0.112011182578203,23.83948,22.93084,21.47125,19.38726,18.23731,STAR,0.0003068545
1237646586639614621,88.2531757645854,-0.0753414643080756,24.34152,21.61052,20.13818,18.5566,17.67599,STAR,0.0003614083
1237646586639614732,88.1582392529542,-0.0523196824699284,24.86022,22.51067,20.42545,19.43279,18.74541,STAR,9.52093e-05
1237646586639614786,88.17653009992,-0.0808264987783738,25.25074,22.57224,20.42505,19.28543,18.44876,STAR,-4.178768e-05
1237646586639615052,88.2629635581308,-0.0605521195514445,25.07168,22.78888,20.48382,19.32154,18.65448,STAR,0.000191153
1237646586639746245,88.5344403757423,-0.0165414041799583,25.77467,22.38534,20.36984,19.22795,18.50136,STAR,0.0001404266
1237646586639876930,88.8021727922749,-0.0284880275558371,25.03778,21.66929,19.76672,18.19442,17.24181,STAR,5.307489e-05
1237646586639876960,88.8972599910892,-0.00781419640047499,24.34126,21.52811,19.51319,18.3146,17.58637,STAR,0.0001926123
1237646586639877244,88.8575777761849,-0.10245705661312,23.61153,22.35444,20.48726,18.93061,18.00345,STAR,0.0002238506
1237646586639941817,88.9917165369653,-0.162325957754583,24.70148,21.79198,19.75784,18.48774,17.66712,STAR,0.0001045495
1237646586639942633,88.9075044471807,-0.0574653187198633,24.5919,21.38951,19.36729,18.2018,17.68522,STAR,-2.751608e-06
1237646586639942806,88.9316594954024,-0.0112497154283119,24.98566,22.69898,20.56379,19.29429,18.51097,STAR,0.0001030225
1237646586639943110,89.0341356933113,-0.121998719964434,25.05763,22.64486,20.62482,19.23289,18.3577,STAR,0.000229969
1237646586640008265,89.1720437313296,0.00317542569161812,23.5075,21.80366,19.90755,18.73038,18.01355,STAR,-7.914856e-05
1237646586640008267,89.1901369524379,-0.160174175117456,25.17701,21.75059,19.90685,18.39527,17.42244,STAR,6.423244e-05
1237646586640008502,89.0898823858939,-0.0171799398308321,25.1518,22.60588,20.64418,19.25592,18.36506,STAR,0.0002631774
1237646586640008533,89.0967002641549,-0.129819128879916,24.16869,22.68229,20.60944,18.9554,18.00937,STAR,0.0001641882
1237646586640008762,89.159209145157,-0.000916578430055603,23.46485,22.53958,20.76642,19.46618,18.65868,STAR,2.519108e-05
1237646586640074118,89.2564375893093,-0.191884937887795,25.02812,21.42059,19.55408,18.48425,17.82065,STAR,5.356118e-05
1237646586640074120,89.2567070066874,0.00272405025137863,23.68618,22.22346,20.19433,18.93358,18.14862,STAR,0.0001272223
1237646586640074220,89.2790737602554,-0.0223557000704487,24.97961,22.52839,20.72189,19.40527,18.63095,STAR,9.297136e-05
1237646586640074328,89.3123881418647,-0.175225641356603,24.85425,21.97083,20.07774,18.88356,18.07418,STAR,0.0004717057
1237646586640074407,89.3387915941067,-0.115501480727999,25.17586,22.24559,20.27847,19.25724,18.49455,STAR,-1.015201e-05
1237646586640139672,89.3659722926203,-0.202418951679323,24.8967,22.4704,20.7311,19.32414,18.55146,STAR,0.0002187472
