objid,ra,dec,u,g,r,i,z,class,redshift,W1mag,W2mag,W1_W2,u_g,parallax,pmra,pmde
1237651252027523409,144.907564224142,59.6418013247578,21.00016,20.23223,20.04021,19.88359,19.83004,QSO,2.579946,16.65,15.695,0.9549999999999983,0.7679299999999998,0.1235,0.633,-0.03
1237651067354022131,189.630494190938,65.6054734688168,20.62057,18.23624,17.3014,16.96304,16.78111,STAR,-0.0001485261,15.011,15.073,-0.062000000000001165,2.384330000000002,0.7136,-0.953,-0.14
1237650762398892054,199.024730272695,-1.89754553526231,18.68995,17.4823,16.41127,16.66805,16.49148,STAR,-9.177552e-06,15.088,15.242,-0.1540000000000017,1.207650000000001,0.5758,-12.087,-2.88
1237651252041810234,215.579318496049,62.3240762750586,23.38067,23.05314,21.29177,19.17633,18.02024,STAR,-0.0001365103,15.081,14.942,0.13899999999999935,0.32752999999999943,5.2199,7.471,19.646
1237651273499476009,131.576916035756,55.9630330650493,18.97578,17.71501,17.15545,16.94174,16.83879,STAR,-8.370618e-06,15.429,15.538,-0.10899999999999999,1.2607700000000008,0.1773,0.051,-3.528
1237648703520309259,222.088280201943,-0.793861319855639,18.64551,17.2639,16.71594,16.52033,16.46658,STAR,-5.920248e-05,14.858,14.933,-0.07499999999999929,1.381610000000002,0.4152,-5.253,-6.542
1237649919499894885,8.57491745794493,14.6198241403663,19.93051,19.29006,19.1842,18.87648,18.7963,QSO,0.5683411,14.415,13.413,1.001999999999999,0.6404500000000013,0.2666,0.818,0.318
1237651702448587124,122.333332878224,48.3196284801354,20.97829,20.22665,19.68836,19.46688,19.14859,STAR,-0.0006987489,17.667,16.763,0.9039999999999999,0.7516400000000019,-0.3581,0.571,-7.168
1237648705132757418,226.313437940464,0.452933087602965,20.13701,19.87881,19.47398,19.40137,19.34585,QSO,1.159178,15.887,14.572,1.3150000000000013,0.25819999999999865,0.2314,0.626,-0.151
1237648720690741392,172.882182079173,-0.439619158804269,20.64301,18.43518,17.56279,17.27573,17.08087,STAR,-7.91171e-05,15.317,15.576,-0.25900000000000034,2.2078300000000013,0.511,-0.038,-2.81
1237651702451077256,127.469540419544,52.9468891851538,19.26649,18.81131,18.94755,18.81785,18.78319,QSO,0.542368,14.492,13.423,1.0690000000000008,0.45518000000000214,-0.2066,0.604,-0.141
1237651067355922605,200.039698372821,64.9604278552189,23.00913,20.52324,19.11261,18.50723,18.21174,STAR,-9.39295e-05,16.218,16.078,0.14000000000000057,2.4858899999999977,0.7954,-1.249,9.985
1237651067349893231,167.068569714135,64.6436821803037,22.06241,19.05843,17.70161,17.07866,16.73637,STAR,0.0001127164,14.651,14.698,-0.0470000000000006,3.0039799999999985,1.0833,-10.109,0.447
1237648721219158191,153.54130094909,-0.0258085579852334,20.1568,20.03383,19.70938,19.84465,20.02777,QSO,1.008333,15.361,14.092,1.2690000000000001,0.12297000000000224,0.1579,0.139,-0.298
1237648722828329033,150.332063923322,1.08384400508297,19.05446,18.89726,18.7176,18.77638,18.74208,QSO,1.108809,15.042,13.829,1.2129999999999992,0.15719999999999956,-0.2758,-0.145,-0.418
1237651273498951765,130.280371461073,55.053813703871,18.67255,17.35693,16.82675,16.6477,16.55948,STAR,-2.571126e-05,15.065,15.297,-0.2320000000000011,1.3156200000000027,0.5065,-2.978,-4.353
1237651272415707535,113.238202682692,36.6230563291144,19.54105,17.80772,17.18664,16.92111,16.79448,STAR,-0.0001236438,15.339,15.649,-0.3099999999999987,1.7333299999999987,0.3997,1.767,-4.129
1237651252048232834,237.777191160528,53.5224908089573,20.95675,20.51876,20.12632,19.87847,19.96583,QSO,1.557696,15.655,14.813,0.8419999999999987,0.4379899999999992,0.5438,0.105,-0.196
1237649919508414688,28.6260692851173,13.482425196461,20.51605,20.081,19.26634,18.72372,18.51175,QSO,0.2019741,15.453,14.959,0.4939999999999998,0.4350500000000004,-1.9982,0.183,2.682
1237651250946768930,126.202051772785,47.7515395012415,19.43352,18.19477,17.66497,17.50657,17.45661,STAR,0.00010277,16.185,16.036,0.14899999999999736,1.2387500000000031,0.1605,-0.728,-5.372
1237649918971478312,28.486790700554,12.9752117547223,21.36193,20.56595,19.97625,19.71377,19.36987,QSO,2.045807,15.99,14.675,1.3149999999999995,0.7959800000000001,-0.4338,0.669,-0.87
