objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , W1mag , W2mag , parallax, pmra   , pmde   , u_g                 , W1_W2
1237646587712700657, 86.7099229247394, 0.76097914169114    , 22.8055 , 20.20637, 18.70789, 17.13486, 16.27636, STAR , 1.057608e-05 , 13.692, 13.521, 3.4326  , -4.23  , -18.507, 2.599129999999999   , 0.17100048
1237646587712700684, 86.7534172396781, 0.767752547307988   , 22.70856, 19.57179, 17.57997, 16.51095, 15.76094, STAR , 0.0002391618 , 12.52 , 12.534, 0.081   , 0.378  , 0.49   , 3.1367699999999985  , -0.013999939
1237646587712700741, 86.6904748625368, 0.807579926972807   , 21.84125, 20.40828, 18.93913, 17.72702, 17.04144, STAR , -5.707432e-06, 14.639, 14.568, 3.1127  , -0.999 , -11.745, 1.4329699999999974  , 0.0710001
1237646587712700747, 86.6922445456979, 0.76105759843986    , 23.17612, 20.88483, 19.44092, 18.73305, 18.20942, STAR , 6.561241e-05 , 15.76 , 15.776, 0.2191  , 2.751  , -4.915 , 2.29129             , -0.015999794
1237646587712700814, 86.8037189363731, 0.644526646442129   , 23.72154, 21.92925, 19.16097, 17.60588, 16.4072 , STAR , 3.14339e-05  , 12.24 , 12.127, 1.1031  , 4.303  , -5.019 , 1.7922900000000013  , 0.112999916
1237646587712700822, 86.6839335027795, 0.686317403183593   , 25.54354, 21.95893, 19.85546, 18.57738, 17.71889, STAR , -0.003801882 , 14.444, 14.4  , 1.6775  , 8.678  , 0.363  , 3.5846100000000014  , 0.044000626
1237646587712700932, 86.6820246906015, 0.646742630991724   , 25.8608 , 23.21103, 20.80986, 19.39011, 18.41282, STAR , -0.004014094 , 14.81 , 14.737, 0.0781  , 6.87   , -0.668 , 2.64977             , 0.072999954
1237646587712700978, 86.7284820735866, 0.824433967423204   , 22.79206, 21.59976, 20.00826, 19.23488, 18.68672, STAR , 0.0002187483 , 16.048, 16.192, -0.0895 , 1.687  , -2.557 , 1.1922999999999995  , -0.1439991
1237646587712701184, 86.7574845905431, 0.717911338373512   , 25.11116, 23.43527, 20.8093 , 19.17759, 17.98351, STAR , 0.0002290262 , 13.574, 13.551, -0.4149 , 1.338  , -0.872 , 1.6758900000000025  , 0.023000717
1237646587712766050, 86.9374934672047, 0.644993287658002   , 21.38056, 19.664  , 16.82383, 15.0348 , 13.58833, STAR , 0.004153254  ,  5.842,  4.61 , 2.6083  , -1.805 , -0.632 , 1.7165599999999976  , 1.2319999
1237646587712766052, 86.9588249252695, 0.698495194959111   , 21.90821, 19.42388, 17.87955, 16.57284, 15.84081, STAR , -3.753227e-05, 13.456, 13.267, 4.5022  , -4.458 , -4.222 , 2.48433             , 0.18900013
1237646587712766071, 86.9123557042991, 0.643412929778119   , 21.79222, 20.6184 , 18.64446, 18.27358, 17.56646, QSO  , 0.1160358    , 12.127, 10.71 , 2.4169  , 1.552  , -2.272 , 1.1738199999999992  , 1.4169998
1237646587712766164, 86.8493558221584, 0.836691849720275   , 25.18416, 22.76131, 20.45101, 19.24151, 18.43441, STAR , 0.0001359167 , 15.149, 15.2  , 1.9156  , 6.772  , -6.769 , 2.422849999999997   , -0.05099964
1237646587712831544, 86.9661411441973, 0.82946480586349    , 22.9765 , 20.20529, 18.4031 , 17.35346, 16.61462, STAR , 1.406644e-05 , 13.665, 13.535, 0.5721  , 3.122  , -2.382 , 2.77121             , 0.13000011
1237646587712831547, 86.9736127208552, 0.722389720664261   , 20.50902, 18.02885, 16.58324, 15.15522, 14.40394, STAR , 7.568512e-05 , 12.024, 11.824, 9.7728  , 13.157 , -28.368, 2.480170000000001   , 0.19999981
1237646587712831549, 86.98073343429  , 0.744890390769787   , 22.51459, 20.21227, 18.73125, 17.43191, 16.73957, STAR , -9.01552e-05 , 14.262, 14.09 , 2.614   , -1.6   , -10.337, 2.302319999999998   , 0.17199993
